,5ht2a,5ht2c,5ht2b,5ht1a,5ht1b,5ht1d,5ht1e,5ht5a,5ht6,5ht7,D1,D2,D3,D4,D5,Alpha1A,Alpha1B,Alpha2A,Alpha2B,Alpha2C,Beta1,Beta2,SERT,DAT,NET,Imidazoline1,Sigma1,Sigma2,DOR,KOR,MOR,M1,M2,M3,M4,M5,H1,H2,Ca+Channel,NMDA,Source
25i-nbome,1.666479593599830,4.60044666393478,>10000.0,1800.1139604180100,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,6700.388738077560,899.9119108700520,2099.9067037624300,>10000.0,>10000.0,369.9985311728600,>10000.0,319.963176731835,>10000.0,>10000.0,>10000.0,>10000.0,1000.0,5400.077590665930,1299.8702373886000,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,89.99119108700520,>10000.0,>10000.0,>10000.0,Rickli (2015)
2c-b,27.59942282854260,89.4952529765287,13.498950350559800,240.8241299827830,104.39988012574900,26.302679918953800,119.50883147362700,>10000.0,319.88951096914000,209.50770523651800,>10000.0,3371.3201787284300,7115.411150074330,>10000.0,>10000.0,>10000.0,>10000.0,308.8161469184510,664.8137604740010,103.29992352432300,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,2155.261643566160,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,821.6748609764340,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,Ray (2010)
2c-c,12.998702373886000,89.99119108700520,>10000.0,190.02030025772300,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,2099.9067037624300,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,530.0294488357960,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,Rickli (2015)
2c-d,31.9963176731835,150.00301904559500,>10000.0,440.04794783598400,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,2399.937876809880,7100.680962545330,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,100.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,Rickli (2015)
2c-e,43.903586564094500,104.11181076233400,25.1015188099533,307.3264929204290,252.8715671105160,73.1981323199808,626.3253647582230,>10000.0,2970.9818591187300,425.59841313374300,>10000.0,3338.8737672512300,1344.9309876881200,>10000.0,>10000.0,>10000.0,>10000.0,490.1172634719430,305.49211132155100,90.19864220737450,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,2556.2304271125500,>10000.0,1725.043297245840,>10000.0,>10000.0,>10000.0,>10000.0,Ray (2010)
2c-i,3.5002575415843400,40.0036851046125,>10000.0,180.0113960418010,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,2699.6036086150100,5000.345349769780,>10000.0,>10000.0,5100.350239594460,>10000.0,70.00031591308970,>10000.0,>10000.0,>10000.0,>10000.0,4900.044227932360,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,6099.580958722390,>10000.0,>10000.0,>10000.0,Rickli (2015)
2c-p,8.100279416803510,40.0036851046125,>10000.0,110.00185275062200,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,8400.40065263769,2299.8525866862000,5199.959965335160,>10000.0,>10000.0,3499.451670283570,>10000.0,89.99119108700520,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,Rickli (2015)
2c-t-2,39.902490236214200,53.90139436325510,6.0006735386411600,381.24135110429900,857.4326166361800,85.90135215053960,415.14518004056900,>10000.0,1362.0717952990900,968.7238673827640,>10000.0,2795.1170539918500,1834.8476077555400,>10000.0,>10000.0,>10000.0,>10000.0,729.6254933925090,981.7479430199840,165.88228153750500,9202.37654805671,1184.1316792087600,>10000.0,>10000.0,>10000.0,2080.1756100985900,3869.9022919026900,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,692.149644226647,>10000.0,1502.1039909500800,>10000.0,>10000.0,>10000.0,>10000.0,Ray (2010)
2c-t-7,6.499800096830250,39.00317844750660,>10000.0,519.9959965335160,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,5000.345349769780,7500.6689873606900,>10000.0,>10000.0,>10000.0,>10000.0,180.0113960418010,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,Rickli (2015)
5-meo-dipt,>10000.0,>10000.0,163.0046523984840,132.40366293918900,5136.886854227250,1717.9083871575900,>10000.0,>10000.0,>10000.0,1231.1189039637800,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,5292.97691687475,2864.8375471900300,>10000.0,>10000.0,2531.0457771974400,>10000.0,>10000.0,759.4514226678700,9442.782793644790,3001.9261222416900,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,>10000.0,Ray (2010)
